racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","1st",,"Monelissio (IRE)","0","Casey, Peter","6","McGarvey, J S","7","151","7",,"101","4 mins 11.70s","251.7",,"0","16","1","National Hunt","8.59785395710792","3","3","3","3520","0","Maiden Hurdle","chased leader, 2nd halfway, closer in 3rd 3 out and challenged after next, ridden to lead before last and asserted run-in, kept on well","10","None","Right Handed","Blnk","25","9","Helissio (FR)","Undulating","4207",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","2nd","4","Pyrus Gold Wind (IRE)","0","Mahon, S J","6","Colgan, R C","0","158","2","(Fav)","0","4 mins 11.70s","251.7","4","0","16","2","National Hunt","3.4","1.68","3","3","3520","0","Maiden Hurdle","chased leader on inner, 3rd halfway and closer in 2nd 3 out, led next, soon ridden and headed approaching last, no impression on winner run-in","11","None","Right Handed"," TT","14","7","Pyrus (USA)","Undulating","976",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","3rd","7","Miranour","0","Lennon, Liam","8","McNamara, Andrew J","0","158","4.5",,"91","4 mins 11.70s","251.7","11","0","16","3","National Hunt","6","2.12","3","3","3520","0","Maiden Hurdle","chased leader, 4th halfway, ridden 2 out and no impression in 3rd before last, kept on same pace","9","None","Right Handed",,"10","8","Mujahid (USA)","Undulating","525",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","4th","12","Tapaigh An Deis (IRE)","0","Hughes, D T","6","Cooper, Bryan J","0","158","16",,"0","4 mins 11.70s","251.7","23","0","16","4","National Hunt","32","9.207254862","3","3","3520","0","Maiden Hurdle","chased leader, 8th halfway, no impression on leaders early straight and went moderate 4th before last, kept on one pace","13","None","Right Handed",,"20","3","Presenting","Undulating","300",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","5th","1.5","Annakrista (GER)","0","Torrens, Mervyn","5","Darcy, M","0","159","50",,"0","4 mins 11.70s","251.7","24.5","0","16","5","National Hunt","310","50","3","3","3520","0","Maiden Hurdle","mid-division, 9th halfway, 7th 3 out but no extra from next, kept on one pace","1","None","Right Handed",,"74","1","Kallisto (GER)","Undulating","0",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","6th","5","Baileys Ruffit (IRE)","0","McKnight, Neil","8","Watters, Mr G B","7","144","20",,"0","4 mins 11.70s","251.7","29.5","0","16","6","National Hunt","39.584250002674","9.40619748122059","3","3","3520","0","Maiden Hurdle","chased leader in 6th, driven along after 4 out and no extra from 2 out, kept on one pace","16","None","Right Handed"," TT","615","6","Revoque (IRE)","Undulating","0",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","7th","SH","Appletime (IRE)","0","Shaw, Thomas","6","McCarthy, I J","3","155","9",,"109","4 mins 11.70s","251.7","29.55","0","16","7","National Hunt","12.5","3.265797548","3","3","3520","0","Maiden Hurdle","mid-division, 12th halfway, pushed along in 9th 2 out, kept on one pace without threatening","2","None","Right Handed",,"25","9","Gold Well","Undulating","0",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","8th","1.25","Wot A Shot (IRE)","0","McBratney, C A","4","Dalton, B R","5","149","25",,"0","4 mins 11.70s","251.7","30.8","0","16","8","National Hunt","45.1271553624282","9","3","3","3520","0","Maiden Hurdle","mid-division, chased clear leader in 7th halfway, some headway in 6th 3 out but no extra from next","15","None","Right Handed",,"112","16","Refuse To Bend (IRE)","Undulating","0",
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","9th","HD","Step One (IRE)","0","Brady, Patrick O","5","Treacy, R P","7","151","20",,"0","4 mins 11.70s","251.7","30.9","0","16","9","National Hunt","35.3429627416457","8.2","3","3","3520","0","Maiden Hurdle","rear of mid-division, 15th 3 out, kept on one pace in straight without troubling leaders","12","None","Right Handed",,"10","4","Beneficial","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","10th","NK","Hidden Horizons (IRE)","0","Crawford, S R B","7","Condon, D J","0","151","16",,"0","4 mins 11.70s","251.7","31.05","0","16","10","National Hunt","44","8.29183295278577","3","3","3520","0","Maiden Hurdle","mid-division, 12th 2 out, kept on one pace","18","None","Right Handed",,"283","1","Winged Love (IRE)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","11th","1.75","Quick Jack (IRE)","0","Martin, A J","4","Walsh, M P","0","149","11",,"0","4 mins 11.70s","251.7","32.8","0","16","11","National Hunt","12.8822072547633","4.16724100221269","3","3","3520","0","Maiden Hurdle","settled towards rear, some headway 4 out and 9th next, no impression from 2 out","19","None","Right Handed",,"7","8","Footstepsinthesand","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","12th","0.5","El Soro (FR)","0","Moore, A L T","5","Casey, D J","0","158","25",,"0","4 mins 11.70s","251.7","33.3","0","16","12","National Hunt","67.3431109105796","12.7908470693696","3","3","3520","0","Maiden Hurdle","rear of mid-division, kept on one pace from 2 out without threatening","7","None","Right Handed",,"None","0","Malinas (GER)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","13th","13","Whispering Down (IRE)","0","McGahan, Holly","4","Walsh, Mr C M","7","135","50",,"0","4 mins 11.70s","251.7","46.3","0","16","13","National Hunt","102.670090769593","26","3","3","3520","0","Maiden Hurdle","towards rear, kept on one pace in straight","20","None","Right Handed",,"10","8","Rock Of Gibraltar (IRE)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","14th","1.5","En Suite (IRE)","0","Cannon, Miss Clare Louise","6","Bolger, M J","3","148","50",,"0","4 mins 11.70s","251.7","47.8","0","16","14","National Hunt","647.336397745","80","3","3","3520","0","Maiden Hurdle","mid-division, 10th halfway, no threat from 3 out","17","None","Right Handed","CkPc","10","6","Presenting","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","15th","0.5","Captain P K (IRE)","0","Kelly, Noel C","6","Fox, Derek R","7","151","50",,"0","4 mins 11.70s","251.7","48.3","0","16","15","National Hunt","150","38.1493528018942","3","3","3520","0","Maiden Hurdle","always towards rear, kept on one pace in straight","4","None","Right Handed"," TT","10","1","Turtle Island (IRE)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","16th","8","Derryarkin (IRE)","0","Martin, A J","7","Shortall, Shane","7","151","28",,"0","4 mins 11.70s","251.7","56.3","0","16","16","National Hunt","186.276419647858","39.2565055762045","3","3","3520","0","Maiden Hurdle","always rear, never a factor, kept on one pace in straight","5","None","Right Handed",,"None","0","Revoque (IRE)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","17th","8","Mind The Pin (IRE)","0","Downey, P","6","Maxwell, C D","3","155","66",,"0","4 mins 11.70s","251.7","64.3","0","16","17","National Hunt","600","76.6575","3","3","3520","0","Maiden Hurdle","rear of mid-division, no threat from 4 out","8","None","Right Handed"," TT","62","2","Court Cave (IRE)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","18th","18","Ballymullough Glen (IRE)","0","Crawford, S R B","8","Donoghue, K M","3","155","50",,"0","4 mins 11.70s","251.7","82.3","0","16","18","National Hunt","220","60","3","3","3520","0","Maiden Hurdle","mid-division, 11th halfway, no extra from 3 out, weakened","3","None","Right Handed",,"8","5","Laveron","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","19th","16","Tikkin Along (IRE)","0","Barkley, Miss S","8","Butler, S E","7","151","66",,"0","4 mins 11.70s","251.7","98.3","0","16","19","National Hunt","520","60","3","3","3520","0","Maiden Hurdle","chased leader, moderate 5th halfway, no extra from 4 out, weakened","14","None","Right Handed",,"446","3","Tikkanen (USA)","Undulating",,
"2013-03-16","13:40:00","Down Royal","Daily Mirror Maiden Hurdle ","4yo+","Irish",,"2m ","4207","Soft","20","F",,"Dr Moloney (IRE)","0","Wilson, R T J","6","Thornton, A P","0","158","8",,"0","4 mins 11.70s","251.7",,"0","16","F","National Hunt","13.5","4.34538270880279","3","3","3520","0","Maiden Hurdle","led and clear halfway, reduced advantage approaching 3 out and headed 2 out, soon no extra and dropped to moderate 5th before last where fell","6","None","Right Handed",,"288","3","Dr Massini (IRE)","Undulating",,
"2013-03-16","14:10:00","Down Royal","Martinstown Opportunity Handicap Hurdle ","4yo+","Irish",,"2m4f ","5329","Soft","17","1st",,"Tyrone Tiger (IRE)","0","Barkley, Miss S","7","Butler, S E","4","159","8",,"92","5 mins 3.70s","303.7",,"90","20","1","National Hunt","9.95818185059135","2.79005883385616","4","4","4400","0","Handicap Hurdle","rear of mid-division, 10th halfway, some headway when checked after 4 out, headway to join issue 2 out and led approaching last, ridden out and kept on well run-in","7","None","Right Handed",,"80","9","Talkin Man (CAN)","Undulating","5329",
"2013-03-16","14:10:00","Down Royal","Martinstown Opportunity Handicap Hurdle ","4yo+","Irish",,"2m4f ","5329","Soft","17","2nd","3","Indubitably","0","Kelly, Noel C","7","Fox, Derek R","4","149","6.5",,"82","5 mins 3.70s","303.7","3","90","20","2","National Hunt","10","2.65646381684337","4","4","4400","0","Handicap Hurdle","towards rear, some headway 3 out and went 9th next, ridden to go 3rd before last, kept on under pressure run-in but not reach winner","16","None","Right Handed","Blnk TT","17","26","Tobougg (IRE)","Undulating","1236",
